"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 29, 2022","1,191.79","1,202.01","1,202.07","1,191.79","351.76K","-0.37%"
"Jul 28, 2022","1,196.16","1,179.48","1,201.57","1,179.48","415.15K","1.42%"
"Jul 27, 2022","1,179.45","1,174.70","1,179.45","1,168.67","252.45K","0.37%"
"Jul 26, 2022","1,175.15","1,180.02","1,184.87","1,174.67","248.85K","-0.45%"
"Jul 25, 2022","1,180.43","1,185.98","1,188.54","1,177.08","254.68K","-0.60%"
"Jul 22, 2022","1,187.53","1,195.66","1,199.31","1,187.53","281.29K","-0.44%"
"Jul 21, 2022","1,192.74","1,187.83","1,197.53","1,187.63","316.24K","0.58%"
"Jul 20, 2022","1,185.85","1,179.37","1,190.45","1,177.40","362.12K","1.32%"
"Jul 19, 2022","1,170.45","1,170.67","1,172.46","1,161.39","291.34K","-0.07%"
"Jul 18, 2022","1,171.29","1,180.58","1,181.09","1,169.42","298.11K","-0.30%"
"Jul 15, 2022","1,174.82","1,178.45","1,184.65","1,173.30","367.88K","-0.12%"
"Jul 14, 2022","1,176.26","1,165.07","1,177.39","1,164.36","315.08K","0.56%"
"Jul 13, 2022","1,169.68","1,170.72","1,178.66","1,167.54","307.77K","-0.19%"
"Jul 12, 2022","1,171.95","1,154.58","1,171.95","1,152.40","300.65K","1.46%"
"Jul 11, 2022","1,155.08","1,167.60","1,168.21","1,146.24","317.00K","-1.64%"
"Jul 08, 2022","1,174.34","1,174.88","1,178.58","1,167.28","299.35K","0.61%"
"Jul 07, 2022","1,167.22","1,151.45","1,167.22","1,147.04","231.59K","1.35%"
"Jul 06, 2022","1,151.69","1,179.79","1,179.79","1,151.69","331.76K","-2.53%"
"Jul 05, 2022","1,181.62","1,195.95","1,197.74","1,180.14","353.78K","-0.94%"
"Jul 04, 2022","1,192.85","1,198.73","1,204.95","1,188.34","268.73K","-0.11%"
"Jul 01, 2022","1,194.16","1,186.47","1,197.90","1,163.83","312.51K","0.39%"
"Jun 30, 2022","1,189.50","1,216.05","1,217.36","1,189.50","310.63K","-2.05%"
"Jun 29, 2022","1,214.42","1,202.00","1,216.96","1,201.87","331.49K","0.02%"
"Jun 28, 2022","1,214.12","1,196.27","1,215.50","1,191.87","349.13K","1.40%"
"Jun 27, 2022","1,197.34","1,181.36","1,197.34","1,180.90","285.42K","1.62%"
"Jun 24, 2022","1,178.27","1,182.27","1,188.88","1,178.27","257.52K","-0.24%"
"Jun 23, 2022","1,181.06","1,161.50","1,181.06","1,155.29","249.37K","1.70%"
"Jun 22, 2022","1,161.32","1,164.40","1,171.76","1,153.99","344.99K","0.51%"
"Jun 21, 2022","1,155.46","1,155.36","1,172.84","1,146.33","417.56K","-0.76%"
"Jun 20, 2022","1,164.33","1,200.46","1,205.64","1,162.12","408.02K","-3.00%"
"Jun 17, 2022","1,200.28","1,196.87","1,203.21","1,174.93","465.17K","-1.93%"
"Jun 16, 2022","1,223.95","1,216.79","1,233.37","1,210.86","356.79K","1.89%"
"Jun 15, 2022","1,201.23","1,217.63","1,221.12","1,178.39","419.49K","-1.10%"
"Jun 14, 2022","1,214.61","1,201.51","1,227.05","1,198.82","342.36K","-0.07%"
"Jun 13, 2022","1,215.45","1,245.48","1,255.18","1,215.45","447.71K","-4.99%"
"Jun 10, 2022","1,279.23","1,289.88","1,303.54","1,279.23","370.69K","-1.62%"
"Jun 09, 2022","1,300.35","1,302.21","1,304.24","1,291.46","293.79K","0.10%"
"Jun 08, 2022","1,299.04","1,284.27","1,305.08","1,280.54","365.01K","1.70%"
"Jun 07, 2022","1,277.33","1,274.41","1,277.33","1,247.27","385.87K","-0.15%"
